Ticker,Company,sector_use,Year,ESG_Score,E_Score,S_Score,G_Score,ROA,PB,EV_EBITDA,log_mcap,QUICK_RATIO,ASSET_GROWTH,FNCL_LVRG,PE_RATIO,market_cap
SNA,Snap-On Inc,Machinery,2021,38.99400029,23.86163137,43.51269485,51.22833234,0.1321927869516766,4.12588948735299,,23.591515862793884,1.7978,15.1717,1.6935,14.4967,17606180864.0
SWK,Stanley Black & Decker Inc,Machinery,2021,72.53396957,93.52609076,75.85880876,42.98419052,0.0134697856642668,0.9850685889775208,,23.19710491717577,0.5217,14.4184,2.5682,20.8751,11867921408.0
TDG,TransDigm Group Inc,Aerospace & Defense,2021,43.84647145,33.40643275,41.57175562,54.5860035,0.0669897600250136,-25.03084984327804,,25.01358770896137,3.3542,5.0014,13.1548,71.6472,72989958144.0
TT,Trane Technologies PLC,Building Products,2021,77.96215235,67.69036994,92.22253795,71.59134123,0.1274600803109194,14.28352329937606,,25.23086660587051,0.9655,-0.5337,2.8599,33.4493,90703937536.0
TXT,Textron Inc,Aerospace & Defense,2021,72.02163098,72.65296506,60.85033657,86.70196285,0.0489369283762917,2.163275348798139,,23.424729427475853,0.93,2.8299,2.6807,26.3413,14901525504.0
UAL,United Airlines Holdings Inc,Airlines,2021,45.92697741,47.87332573,48.41507407,40.12296305,0.0425063779814532,6.843499716012918,,24.2617862490806,1.0964,14.4875,11.6228,7.3934,34415960064.0
UNP,Union Pacific Corp,Road & Rail,2021,75.9666998,53.14604377,92.40129588,81.98651215,0.0996381894705752,9.435144695734442,,25.620643301021637,0.4749,1.8061,4.0465,25.7374,133938061312.0
UPS,United Parcel Service Inc,Air Freight & Logistics,2021,68.63241369,69.30800491,65.20291983,72.28004624,0.0825174825174825,4.975943476125639,,24.98941446184929,1.3168,11.2117,8.8406,17.6687,71246708736.0
URI,United Rentals Inc,Trading Companies & Distributors,2021,80.64808035,73.32151289,88.51071234,75.72998115,0.0914320207364272,10.078426974400942,,24.82922263014853,0.6996,13.5662,3.6219,22.1364,60700794880.0
VRSK,Verisk Analytics Inc,Professional Services,2021,79.92936392,65.02651061,82.07097098,82.55605829,0.2245175510586911,12.001716672382113,,24.25302066591762,0.3551,3.2572,2.7871,50.9615,34115602432.0
WAB,Westinghouse Air Brake Technologies Corp,Machinery,2021,59.57413736,57.20476407,78.34502481,37.8066662,0.0564645492460699,3.3104526643523013,,24.24496532094667,0.5354,-0.0027,1.8161,29.1301,33841893376.0
WM,Waste Management Inc,Commercial Services & Supplies,2021,87.02101897,69.24419958,92.34214088,91.024862899116,0.0616150963717548,12.197279157689277,,25.1938772150196,0.587,-0.8451,4.0095,34.5272,87410147328.0
XYL,Xylem Inc,Machinery,2021,81.62744256,74.25345345,84.56683037,86.62236546,0.0539622870308615,10.779607042586008,,24.27687030657689,1.6549,-5.4171,2.7523,47.3986,34939027456.0
